"","location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"1","Alabama","1 wk ahead","Point","percent",NA,NA,3.4
"2","Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"3","Alabama","1 wk ahead","Bin","percent","0.1","0.2",0
"4","Alabama","1 wk ahead","Bin","percent","0.2","0.3",0
"5","Alabama","1 wk ahead","Bin","percent","0.3","0.4",0
"6","Alabama","1 wk ahead","Bin","percent","0.4","0.5",0
"7","Alabama","1 wk ahead","Bin","percent","0.5","0.6",0
"8","Alabama","1 wk ahead","Bin","percent","0.6","0.7",0
"9","Alabama","1 wk ahead","Bin","percent","0.7","0.8",0
"10","Alabama","1 wk ahead","Bin","percent","0.8","0.9",0
"11","Alabama","1 wk ahead","Bin","percent","0.9","1.0",0
"12","Alabama","1 wk ahead","Bin","percent","1.0","1.1",0.001
"13","Alabama","1 wk ahead","Bin","percent","1.1","1.2",0.071
"14","Alabama","1 wk ahead","Bin","percent","1.2","1.3",0
"15","Alabama","1 wk ahead","Bin","percent","1.3","1.4",0
"16","Alabama","1 wk ahead","Bin","percent","1.4","1.5",0
"17","Alabama","1 wk ahead","Bin","percent","1.5","1.6",0
"18","Alabama","1 wk ahead","Bin","percent","1.6","1.7",0.072
"19","Alabama","1 wk ahead","Bin","percent","1.7","1.8",0
"20","Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.072
"21","Alabama","1 wk ahead","Bin","percent","1.9","2.0",0.144
"22","Alabama","1 wk ahead","Bin","percent","2.0","2.1",0
"23","Alabama","1 wk ahead","Bin","percent","2.1","2.2",0
"24","Alabama","1 wk ahead","Bin","percent","2.2","2.3",0
"25","Alabama","1 wk ahead","Bin","percent","2.3","2.4",0.03
"26","Alabama","1 wk ahead","Bin","percent","2.4","2.5",0.042
"27","Alabama","1 wk ahead","Bin","percent","2.5","2.6",0
"28","Alabama","1 wk ahead","Bin","percent","2.6","2.7",0
"29","Alabama","1 wk ahead","Bin","percent","2.7","2.8",0
"30","Alabama","1 wk ahead","Bin","percent","2.8","2.9",0
"31","Alabama","1 wk ahead","Bin","percent","2.9","3.0",0
"32","Alabama","1 wk ahead","Bin","percent","3.0","3.1",0
"33","Alabama","1 wk ahead","Bin","percent","3.1","3.2",0
"34","Alabama","1 wk ahead","Bin","percent","3.2","3.3",0
"35","Alabama","1 wk ahead","Bin","percent","3.3","3.4",0.003
"36","Alabama","1 wk ahead","Bin","percent","3.4","3.5",0.068
"37","Alabama","1 wk ahead","Bin","percent","3.5","3.6",0
"38","Alabama","1 wk ahead","Bin","percent","3.6","3.7",0
"39","Alabama","1 wk ahead","Bin","percent","3.7","3.8",0
"40","Alabama","1 wk ahead","Bin","percent","3.8","3.9",0
"41","Alabama","1 wk ahead","Bin","percent","3.9","4.0",0
"42","Alabama","1 wk ahead","Bin","percent","4.0","4.1",0
"43","Alabama","1 wk ahead","Bin","percent","4.1","4.2",0
"44","Alabama","1 wk ahead","Bin","percent","4.2","4.3",0
"45","Alabama","1 wk ahead","Bin","percent","4.3","4.4",0
"46","Alabama","1 wk ahead","Bin","percent","4.4","4.5",0
"47","Alabama","1 wk ahead","Bin","percent","4.5","4.6",0
"48","Alabama","1 wk ahead","Bin","percent","4.6","4.7",0.001
"49","Alabama","1 wk ahead","Bin","percent","4.7","4.8",0.07
"50","Alabama","1 wk ahead","Bin","percent","4.8","4.9",0
"51","Alabama","1 wk ahead","Bin","percent","4.9","5.0",0
"52","Alabama","1 wk ahead","Bin","percent","5.0","5.1",0.029
"53","Alabama","1 wk ahead","Bin","percent","5.1","5.2",0.042
"54","Alabama","1 wk ahead","Bin","percent","5.2","5.3",0
"55","Alabama","1 wk ahead","Bin","percent","5.3","5.4",0
"56","Alabama","1 wk ahead","Bin","percent","5.4","5.5",0
"57","Alabama","1 wk ahead","Bin","percent","5.5","5.6",0
"58","Alabama","1 wk ahead","Bin","percent","5.6","5.7",0.01
"59","Alabama","1 wk ahead","Bin","percent","5.7","5.8",0.061
"60","Alabama","1 wk ahead","Bin","percent","5.8","5.9",0
"61","Alabama","1 wk ahead","Bin","percent","5.9","6.0",0
"62","Alabama","1 wk ahead","Bin","percent","6.0","6.1",0
"63","Alabama","1 wk ahead","Bin","percent","6.1","6.2",0
"64","Alabama","1 wk ahead","Bin","percent","6.2","6.3",0
"65","Alabama","1 wk ahead","Bin","percent","6.3","6.4",0
"66","Alabama","1 wk ahead","Bin","percent","6.4","6.5",0
"67","Alabama","1 wk ahead","Bin","percent","6.5","6.6",0
"68","Alabama","1 wk ahead","Bin","percent","6.6","6.7",0
"69","Alabama","1 wk ahead","Bin","percent","6.7","6.8",0
"70","Alabama","1 wk ahead","Bin","percent","6.8","6.9",0
"71","Alabama","1 wk ahead","Bin","percent","6.9","7.0",0
"72","Alabama","1 wk ahead","Bin","percent","7.0","7.1",0.068
"73","Alabama","1 wk ahead","Bin","percent","7.1","7.2",0.003
"74","Alabama","1 wk ahead","Bin","percent","7.2","7.3",0.005
"75","Alabama","1 wk ahead","Bin","percent","7.3","7.4",0.066
"76","Alabama","1 wk ahead","Bin","percent","7.4","7.5",0
"77","Alabama","1 wk ahead","Bin","percent","7.5","7.6",0
"78","Alabama","1 wk ahead","Bin","percent","7.6","7.7",0.071
"79","Alabama","1 wk ahead","Bin","percent","7.7","7.8",0
"80","Alabama","1 wk ahead","Bin","percent","7.8","7.9",0
"81","Alabama","1 wk ahead","Bin","percent","7.9","8.0",0
"82","Alabama","1 wk ahead","Bin","percent","8.0","8.1",0
"83","Alabama","1 wk ahead","Bin","percent","8.1","8.2",0
"84","Alabama","1 wk ahead","Bin","percent","8.2","8.3",0
"85","Alabama","1 wk ahead","Bin","percent","8.3","8.4",0
"86","Alabama","1 wk ahead","Bin","percent","8.4","8.5",0
"87","Alabama","1 wk ahead","Bin","percent","8.5","8.6",0
"88","Alabama","1 wk ahead","Bin","percent","8.6","8.7",0
"89","Alabama","1 wk ahead","Bin","percent","8.7","8.8",0
"90","Alabama","1 wk ahead","Bin","percent","8.8","8.9",0
"91","Alabama","1 wk ahead","Bin","percent","8.9","9.0",0
"92","Alabama","1 wk ahead","Bin","percent","9.0","9.1",0.07
"93","Alabama","1 wk ahead","Bin","percent","9.1","9.2",0.001
"94","Alabama","1 wk ahead","Bin","percent","9.2","9.3",0
"95","Alabama","1 wk ahead","Bin","percent","9.3","9.4",0
"96","Alabama","1 wk ahead","Bin","percent","9.4","9.5",0
"97","Alabama","1 wk ahead","Bin","percent","9.5","9.6",0
"98","Alabama","1 wk ahead","Bin","percent","9.6","9.7",0
"99","Alabama","1 wk ahead","Bin","percent","9.7","9.8",0
"100","Alabama","1 wk ahead","Bin","percent","9.8","9.9",0
"101","Alabama","1 wk ahead","Bin","percent","9.9","10.0",0
"102","Alabama","1 wk ahead","Bin","percent","10.0","10.1",0
"103","Alabama","1 wk ahead","Bin","percent","10.1","10.2",0
"104","Alabama","1 wk ahead","Bin","percent","10.2","10.3",0
"105","Alabama","1 wk ahead","Bin","percent","10.3","10.4",0
"106","Alabama","1 wk ahead","Bin","percent","10.4","10.5",0
