,Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
0,Alabama,Season peak week,Point,week,,,51
1,Alabama,Season peak week,Bin,week,40,41,0.03030303
2,Alabama,Season peak week,Bin,week,41,42,0.03030303
3,Alabama,Season peak week,Bin,week,42,43,0.03030303
4,Alabama,Season peak week,Bin,week,43,44,0.03030303
5,Alabama,Season peak week,Bin,week,44,45,0.03030303
6,Alabama,Season peak week,Bin,week,45,46,0.03030303
7,Alabama,Season peak week,Bin,week,46,47,0.03030303
8,Alabama,Season peak week,Bin,week,47,48,0.03030303
9,Alabama,Season peak week,Bin,week,48,49,0.03030303
10,Alabama,Season peak week,Bin,week,49,50,0.03030303
11,Alabama,Season peak week,Bin,week,50,51,0.03030303
12,Alabama,Season peak week,Bin,week,51,52,0.03030303
13,Alabama,Season peak week,Bin,week,52,53,0.03030303
14,Alabama,Season peak week,Bin,week,1,2,0.03030303
15,Alabama,Season peak week,Bin,week,2,3,0.03030303
16,Alabama,Season peak week,Bin,week,3,4,0.03030303
17,Alabama,Season peak week,Bin,week,4,5,0.03030303
18,Alabama,Season peak week,Bin,week,5,6,0.03030303
19,Alabama,Season peak week,Bin,week,6,7,0.03030303
20,Alabama,Season peak week,Bin,week,7,8,0.03030303
21,Alabama,Season peak week,Bin,week,8,9,0.03030303
22,Alabama,Season peak week,Bin,week,9,10,0.03030303
23,Alabama,Season peak week,Bin,week,10,11,0.03030303
24,Alabama,Season peak week,Bin,week,11,12,0.03030303
25,Alabama,Season peak week,Bin,week,12,13,0.03030303
26,Alabama,Season peak week,Bin,week,13,14,0.03030303
27,Alabama,Season peak week,Bin,week,14,15,0.03030303
28,Alabama,Season peak week,Bin,week,15,16,0.03030303
29,Alabama,Season peak week,Bin,week,16,17,0.03030303
30,Alabama,Season peak week,Bin,week,17,18,0.03030303
31,Alabama,Season peak week,Bin,week,18,19,0.03030303
32,Alabama,Season peak week,Bin,week,19,20,0.03030303
33,Alabama,Season peak week,Bin,week,20,21,0.03030303
34,Alabama,Season peak percentage,Point,percent,,,1.5
35,Alabama,Season peak percentage,Bin,percent,0,0.1,0.007633588
36,Alabama,Season peak percentage,Bin,percent,0.1,0.2,0.007633588
37,Alabama,Season peak percentage,Bin,percent,0.2,0.3,0.007633588
38,Alabama,Season peak percentage,Bin,percent,0.3,0.4,0.007633588
39,Alabama,Season peak percentage,Bin,percent,0.4,0.5,0.007633588
40,Alabama,Season peak percentage,Bin,percent,0.5,0.6,0.007633588
41,Alabama,Season peak percentage,Bin,percent,0.6,0.7,0.007633588
42,Alabama,Season peak percentage,Bin,percent,0.7,0.8,0.007633588
43,Alabama,Season peak percentage,Bin,percent,0.8,0.9,0.007633588
44,Alabama,Season peak percentage,Bin,percent,0.9,1,0.007633588
45,Alabama,Season peak percentage,Bin,percent,1,1.1,0.007633588
46,Alabama,Season peak percentage,Bin,percent,1.1,1.2,0.007633588
47,Alabama,Season peak percentage,Bin,percent,1.2,1.3,0.007633588
48,Alabama,Season peak percentage,Bin,percent,1.3,1.4,0.007633588
49,Alabama,Season peak percentage,Bin,percent,1.4,1.5,0.007633588
50,Alabama,Season peak percentage,Bin,percent,1.5,1.6,0.007633588
51,Alabama,Season peak percentage,Bin,percent,1.6,1.7,0.007633588
52,Alabama,Season peak percentage,Bin,percent,1.7,1.8,0.007633588
53,Alabama,Season peak percentage,Bin,percent,1.8,1.9,0.007633588
54,Alabama,Season peak percentage,Bin,percent,1.9,2,0.007633588
55,Alabama,Season peak percentage,Bin,percent,2,2.1,0.007633588
56,Alabama,Season peak percentage,Bin,percent,2.1,2.2,0.007633588
57,Alabama,Season peak percentage,Bin,percent,2.2,2.3,0.007633588
58,Alabama,Season peak percentage,Bin,percent,2.3,2.4,0.007633588
59,Alabama,Season peak percentage,Bin,percent,2.4,2.5,0.007633588
60,Alabama,Season peak percentage,Bin,percent,2.5,2.6,0.007633588
61,Alabama,Season peak percentage,Bin,percent,2.6,2.7,0.007633588
62,Alabama,Season peak percentage,Bin,percent,2.7,2.8,0.007633588
63,Alabama,Season peak percentage,Bin,percent,2.8,2.9,0.007633588
64,Alabama,Season peak percentage,Bin,percent,2.9,3,0.007633588
65,Alabama,Season peak percentage,Bin,percent,3,3.1,0.007633588
66,Alabama,Season peak percentage,Bin,percent,3.1,3.2,0.007633588
67,Alabama,Season peak percentage,Bin,percent,3.2,3.3,0.007633588
68,Alabama,Season peak percentage,Bin,percent,3.3,3.4,0.007633588
69,Alabama,Season peak percentage,Bin,percent,3.4,3.5,0.007633588
70,Alabama,Season peak percentage,Bin,percent,3.5,3.6,0.007633588
71,Alabama,Season peak percentage,Bin,percent,3.6,3.7,0.007633588
72,Alabama,Season peak percentage,Bin,percent,3.7,3.8,0.007633588
73,Alabama,Season peak percentage,Bin,percent,3.8,3.9,0.007633588
74,Alabama,Season peak percentage,Bin,percent,3.9,4,0.007633588
75,Alabama,Season peak percentage,Bin,percent,4,4.1,0.007633588
76,Alabama,Season peak percentage,Bin,percent,4.1,4.2,0.007633588
77,Alabama,Season peak percentage,Bin,percent,4.2,4.3,0.007633588
78,Alabama,Season peak percentage,Bin,percent,4.3,4.4,0.007633588
79,Alabama,Season peak percentage,Bin,percent,4.4,4.5,0.007633588
80,Alabama,Season peak percentage,Bin,percent,4.5,4.6,0.007633588
81,Alabama,Season peak percentage,Bin,percent,4.6,4.7,0.007633588
82,Alabama,Season peak percentage,Bin,percent,4.7,4.8,0.007633588
83,Alabama,Season peak percentage,Bin,percent,4.8,4.9,0.007633588
84,Alabama,Season peak percentage,Bin,percent,4.9,5,0.007633588
85,Alabama,Season peak percentage,Bin,percent,5,5.1,0.007633588
86,Alabama,Season peak percentage,Bin,percent,5.1,5.2,0.007633588
87,Alabama,Season peak percentage,Bin,percent,5.2,5.3,0.007633588
88,Alabama,Season peak percentage,Bin,percent,5.3,5.4,0.007633588
89,Alabama,Season peak percentage,Bin,percent,5.4,5.5,0.007633588
90,Alabama,Season peak percentage,Bin,percent,5.5,5.6,0.007633588
91,Alabama,Season peak percentage,Bin,percent,5.6,5.7,0.007633588
92,Alabama,Season peak percentage,Bin,percent,5.7,5.8,0.007633588
93,Alabama,Season peak percentage,Bin,percent,5.8,5.9,0.007633588
94,Alabama,Season peak percentage,Bin,percent,5.9,6,0.007633588
95,Alabama,Season peak percentage,Bin,percent,6,6.1,0.007633588
96,Alabama,Season peak percentage,Bin,percent,6.1,6.2,0.007633588
97,Alabama,Season peak percentage,Bin,percent,6.2,6.3,0.007633588
98,Alabama,Season peak percentage,Bin,percent,6.3,6.4,0.007633588
99,Alabama,Season peak percentage,Bin,percent,6.4,6.5,0.007633588
100,Alabama,Season peak percentage,Bin,percent,6.5,6.6,0.007633588
101,Alabama,Season peak percentage,Bin,percent,6.6,6.7,0.007633588
102,Alabama,Season peak percentage,Bin,percent,6.7,6.8,0.007633588
103,Alabama,Season peak percentage,Bin,percent,6.8,6.9,0.007633588
104,Alabama,Season peak percentage,Bin,percent,6.9,7,0.007633588
105,Alabama,Season peak percentage,Bin,percent,7,7.1,0.007633588
106,Alabama,Season peak percentage,Bin,percent,7.1,7.2,0.007633588
107,Alabama,Season peak percentage,Bin,percent,7.2,7.3,0.007633588
108,Alabama,Season peak percentage,Bin,percent,7.3,7.4,0.007633588
109,Alabama,Season peak percentage,Bin,percent,7.4,7.5,0.007633588
110,Alabama,Season peak percentage,Bin,percent,7.5,7.6,0.007633588
111,Alabama,Season peak percentage,Bin,percent,7.6,7.7,0.007633588
112,Alabama,Season peak percentage,Bin,percent,7.7,7.8,0.007633588
113,Alabama,Season peak percentage,Bin,percent,7.8,7.9,0.007633588
114,Alabama,Season peak percentage,Bin,percent,7.9,8,0.007633588
115,Alabama,Season peak percentage,Bin,percent,8,8.1,0.007633588
116,Alabama,Season peak percentage,Bin,percent,8.1,8.2,0.007633588
117,Alabama,Season peak percentage,Bin,percent,8.2,8.3,0.007633588
118,Alabama,Season peak percentage,Bin,percent,8.3,8.4,0.007633588
119,Alabama,Season peak percentage,Bin,percent,8.4,8.5,0.007633588
120,Alabama,Season peak percentage,Bin,percent,8.5,8.6,0.007633588
121,Alabama,Season peak percentage,Bin,percent,8.6,8.7,0.007633588
122,Alabama,Season peak percentage,Bin,percent,8.7,8.8,0.007633588
123,Alabama,Season peak percentage,Bin,percent,8.8,8.9,0.007633588
124,Alabama,Season peak percentage,Bin,percent,8.9,9,0.007633588
125,Alabama,Season peak percentage,Bin,percent,9,9.1,0.007633588
126,Alabama,Season peak percentage,Bin,percent,9.1,9.2,0.007633588
127,Alabama,Season peak percentage,Bin,percent,9.2,9.3,0.007633588
128,Alabama,Season peak percentage,Bin,percent,9.3,9.4,0.007633588
129,Alabama,Season peak percentage,Bin,percent,9.4,9.5,0.007633588
130,Alabama,Season peak percentage,Bin,percent,9.5,9.6,0.007633588
131,Alabama,Season peak percentage,Bin,percent,9.6,9.7,0.007633588
132,Alabama,Season peak percentage,Bin,percent,9.7,9.8,0.007633588
133,Alabama,Season peak percentage,Bin,percent,9.8,9.9,0.007633588
134,Alabama,Season peak percentage,Bin,percent,9.9,10,0.007633588
135,Alabama,Season peak percentage,Bin,percent,10,10.1,0.007633588
136,Alabama,Season peak percentage,Bin,percent,10.1,10.2,0.007633588
137,Alabama,Season peak percentage,Bin,percent,10.2,10.3,0.007633588
138,Alabama,Season peak percentage,Bin,percent,10.3,10.4,0.007633588
139,Alabama,Season peak percentage,Bin,percent,10.4,10.5,0.007633588
140,Alabama,Season peak percentage,Bin,percent,10.5,10.6,0.007633588
141,Alabama,Season peak percentage,Bin,percent,10.6,10.7,0.007633588
142,Alabama,Season peak percentage,Bin,percent,10.7,10.8,0.007633588
143,Alabama,Season peak percentage,Bin,percent,10.8,10.9,0.007633588
144,Alabama,Season peak percentage,Bin,percent,10.9,11,0.007633588
145,Alabama,Season peak percentage,Bin,percent,11,11.1,0.007633588
146,Alabama,Season peak percentage,Bin,percent,11.1,11.2,0.007633588
147,Alabama,Season peak percentage,Bin,percent,11.2,11.3,0.007633588
148,Alabama,Season peak percentage,Bin,percent,11.3,11.4,0.007633588
149,Alabama,Season peak percentage,Bin,percent,11.4,11.5,0.007633588
150,Alabama,Season peak percentage,Bin,percent,11.5,11.6,0.007633588
151,Alabama,Season peak percentage,Bin,percent,11.6,11.7,0.007633588
152,Alabama,Season peak percentage,Bin,percent,11.7,11.8,0.007633588
153,Alabama,Season peak percentage,Bin,percent,11.8,11.9,0.007633588
154,Alabama,Season peak percentage,Bin,percent,11.9,12,0.007633588
155,Alabama,Season peak percentage,Bin,percent,12,12.1,0.007633588
156,Alabama,Season peak percentage,Bin,percent,12.1,12.2,0.007633588
157,Alabama,Season peak percentage,Bin,percent,12.2,12.3,0.007633588
158,Alabama,Season peak percentage,Bin,percent,12.3,12.4,0.007633588
159,Alabama,Season peak percentage,Bin,percent,12.4,12.5,0.007633588
160,Alabama,Season peak percentage,Bin,percent,12.5,12.6,0.007633588
161,Alabama,Season peak percentage,Bin,percent,12.6,12.7,0.007633588
162,Alabama,Season peak percentage,Bin,percent,12.7,12.8,0.007633588
163,Alabama,Season peak percentage,Bin,percent,12.8,12.9,0.007633588
164,Alabama,Season peak percentage,Bin,percent,12.9,13,0.007633588
165,Alabama,Season peak percentage,Bin,percent,13,100,0.007633588
166,Alabama,1 wk ahead,Point,percent,,,1.5
167,Alabama,1 wk ahead,Bin,percent,0,0.1,0.007633588
168,Alabama,1 wk ahead,Bin,percent,0.1,0.2,0.007633588
169,Alabama,1 wk ahead,Bin,percent,0.2,0.3,0.007633588
170,Alabama,1 wk ahead,Bin,percent,0.3,0.4,0.007633588
171,Alabama,1 wk ahead,Bin,percent,0.4,0.5,0.007633588
172,Alabama,1 wk ahead,Bin,percent,0.5,0.6,0.007633588
173,Alabama,1 wk ahead,Bin,percent,0.6,0.7,0.007633588
174,Alabama,1 wk ahead,Bin,percent,0.7,0.8,0.007633588
175,Alabama,1 wk ahead,Bin,percent,0.8,0.9,0.007633588
176,Alabama,1 wk ahead,Bin,percent,0.9,1,0.007633588
177,Alabama,1 wk ahead,Bin,percent,1,1.1,0.007633588
178,Alabama,1 wk ahead,Bin,percent,1.1,1.2,0.007633588
179,Alabama,1 wk ahead,Bin,percent,1.2,1.3,0.007633588
180,Alabama,1 wk ahead,Bin,percent,1.3,1.4,0.007633588
181,Alabama,1 wk ahead,Bin,percent,1.4,1.5,0.007633588
182,Alabama,1 wk ahead,Bin,percent,1.5,1.6,0.007633588
183,Alabama,1 wk ahead,Bin,percent,1.6,1.7,0.007633588
184,Alabama,1 wk ahead,Bin,percent,1.7,1.8,0.007633588
185,Alabama,1 wk ahead,Bin,percent,1.8,1.9,0.007633588
186,Alabama,1 wk ahead,Bin,percent,1.9,2,0.007633588
187,Alabama,1 wk ahead,Bin,percent,2,2.1,0.007633588
188,Alabama,1 wk ahead,Bin,percent,2.1,2.2,0.007633588
189,Alabama,1 wk ahead,Bin,percent,2.2,2.3,0.007633588
190,Alabama,1 wk ahead,Bin,percent,2.3,2.4,0.007633588
191,Alabama,1 wk ahead,Bin,percent,2.4,2.5,0.007633588
192,Alabama,1 wk ahead,Bin,percent,2.5,2.6,0.007633588
193,Alabama,1 wk ahead,Bin,percent,2.6,2.7,0.007633588
194,Alabama,1 wk ahead,Bin,percent,2.7,2.8,0.007633588
195,Alabama,1 wk ahead,Bin,percent,2.8,2.9,0.007633588
196,Alabama,1 wk ahead,Bin,percent,2.9,3,0.007633588
197,Alabama,1 wk ahead,Bin,percent,3,3.1,0.007633588
198,Alabama,1 wk ahead,Bin,percent,3.1,3.2,0.007633588
199,Alabama,1 wk ahead,Bin,percent,3.2,3.3,0.007633588
200,Alabama,1 wk ahead,Bin,percent,3.3,3.4,0.007633588
201,Alabama,1 wk ahead,Bin,percent,3.4,3.5,0.007633588
202,Alabama,1 wk ahead,Bin,percent,3.5,3.6,0.007633588
203,Alabama,1 wk ahead,Bin,percent,3.6,3.7,0.007633588
204,Alabama,1 wk ahead,Bin,percent,3.7,3.8,0.007633588
205,Alabama,1 wk ahead,Bin,percent,3.8,3.9,0.007633588
206,Alabama,1 wk ahead,Bin,percent,3.9,4,0.007633588
207,Alabama,1 wk ahead,Bin,percent,4,4.1,0.007633588
208,Alabama,1 wk ahead,Bin,percent,4.1,4.2,0.007633588
209,Alabama,1 wk ahead,Bin,percent,4.2,4.3,0.007633588
210,Alabama,1 wk ahead,Bin,percent,4.3,4.4,0.007633588
211,Alabama,1 wk ahead,Bin,percent,4.4,4.5,0.007633588
212,Alabama,1 wk ahead,Bin,percent,4.5,4.6,0.007633588
213,Alabama,1 wk ahead,Bin,percent,4.6,4.7,0.007633588
214,Alabama,1 wk ahead,Bin,percent,4.7,4.8,0.007633588
215,Alabama,1 wk ahead,Bin,percent,4.8,4.9,0.007633588
216,Alabama,1 wk ahead,Bin,percent,4.9,5,0.007633588
217,Alabama,1 wk ahead,Bin,percent,5,5.1,0.007633588
218,Alabama,1 wk ahead,Bin,percent,5.1,5.2,0.007633588
219,Alabama,1 wk ahead,Bin,percent,5.2,5.3,0.007633588
220,Alabama,1 wk ahead,Bin,percent,5.3,5.4,0.007633588
221,Alabama,1 wk ahead,Bin,percent,5.4,5.5,0.007633588
222,Alabama,1 wk ahead,Bin,percent,5.5,5.6,0.007633588
223,Alabama,1 wk ahead,Bin,percent,5.6,5.7,0.007633588
224,Alabama,1 wk ahead,Bin,percent,5.7,5.8,0.007633588
225,Alabama,1 wk ahead,Bin,percent,5.8,5.9,0.007633588
226,Alabama,1 wk ahead,Bin,percent,5.9,6,0.007633588
