"","location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"1","Alabama","1 wk ahead","Point","percent",NA,NA,3.7
"2","Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"3","Alabama","1 wk ahead","Bin","percent","0.1","0.2",0
"4","Alabama","1 wk ahead","Bin","percent","0.2","0.3",0
"5","Alabama","1 wk ahead","Bin","percent","0.3","0.4",0
"6","Alabama","1 wk ahead","Bin","percent","0.4","0.5",0
"7","Alabama","1 wk ahead","Bin","percent","0.5","0.6",0
"8","Alabama","1 wk ahead","Bin","percent","0.6","0.7",0
"9","Alabama","1 wk ahead","Bin","percent","0.7","0.8",0
"10","Alabama","1 wk ahead","Bin","percent","0.8","0.9",0.071
"11","Alabama","1 wk ahead","Bin","percent","0.9","1.0",0
"12","Alabama","1 wk ahead","Bin","percent","1.0","1.1",0
"13","Alabama","1 wk ahead","Bin","percent","1.1","1.2",0
"14","Alabama","1 wk ahead","Bin","percent","1.2","1.3",0
"15","Alabama","1 wk ahead","Bin","percent","1.3","1.4",0
"16","Alabama","1 wk ahead","Bin","percent","1.4","1.5",0.071
"17","Alabama","1 wk ahead","Bin","percent","1.5","1.6",0
"18","Alabama","1 wk ahead","Bin","percent","1.6","1.7",0
"19","Alabama","1 wk ahead","Bin","percent","1.7","1.8",0.071
"20","Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.071
"21","Alabama","1 wk ahead","Bin","percent","1.9","2.0",0
"22","Alabama","1 wk ahead","Bin","percent","2.0","2.1",0.071
"23","Alabama","1 wk ahead","Bin","percent","2.1","2.2",0
"24","Alabama","1 wk ahead","Bin","percent","2.2","2.3",0.071
"25","Alabama","1 wk ahead","Bin","percent","2.3","2.4",0
"26","Alabama","1 wk ahead","Bin","percent","2.4","2.5",0
"27","Alabama","1 wk ahead","Bin","percent","2.5","2.6",0
"28","Alabama","1 wk ahead","Bin","percent","2.6","2.7",0.048
"29","Alabama","1 wk ahead","Bin","percent","2.7","2.8",0.023
"30","Alabama","1 wk ahead","Bin","percent","2.8","2.9",0
"31","Alabama","1 wk ahead","Bin","percent","2.9","3.0",0
"32","Alabama","1 wk ahead","Bin","percent","3.0","3.1",0
