"","location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"1","Alabama","1 wk ahead","Point","percent",NA,NA,2
"2","Alabama","1 wk ahead","Bin","percent","0.0","0.1",0
"3","Alabama","1 wk ahead","Bin","percent","0.1","0.2",0
"4","Alabama","1 wk ahead","Bin","percent","0.2","0.3",0
"5","Alabama","1 wk ahead","Bin","percent","0.3","0.4",0
"6","Alabama","1 wk ahead","Bin","percent","0.4","0.5",0
"7","Alabama","1 wk ahead","Bin","percent","0.5","0.6",0
"8","Alabama","1 wk ahead","Bin","percent","0.6","0.7",0
"9","Alabama","1 wk ahead","Bin","percent","0.7","0.8",0.001
"10","Alabama","1 wk ahead","Bin","percent","0.8","0.9",0.004
"11","Alabama","1 wk ahead","Bin","percent","0.9","1.0",0.01
"12","Alabama","1 wk ahead","Bin","percent","1.0","1.1",0.02
"13","Alabama","1 wk ahead","Bin","percent","1.1","1.2",0.027
"14","Alabama","1 wk ahead","Bin","percent","1.2","1.3",0.031
"15","Alabama","1 wk ahead","Bin","percent","1.3","1.4",0.038
"16","Alabama","1 wk ahead","Bin","percent","1.4","1.5",0.051
"17","Alabama","1 wk ahead","Bin","percent","1.5","1.6",0.053
"18","Alabama","1 wk ahead","Bin","percent","1.6","1.7",0.056
"19","Alabama","1 wk ahead","Bin","percent","1.7","1.8",0.065
"20","Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.044
"21","Alabama","1 wk ahead","Bin","percent","1.9","2.0",0.054
"22","Alabama","1 wk ahead","Bin","percent","2.0","2.1",0.049
"23","Alabama","1 wk ahead","Bin","percent","2.1","2.2",0.043
"24","Alabama","1 wk ahead","Bin","percent","2.2","2.3",0.046
"25","Alabama","1 wk ahead","Bin","percent","2.3","2.4",0.044
"26","Alabama","1 wk ahead","Bin","percent","2.4","2.5",0.04
"27","Alabama","1 wk ahead","Bin","percent","2.5","2.6",0.048
"28","Alabama","1 wk ahead","Bin","percent","2.6","2.7",0.027
"29","Alabama","1 wk ahead","Bin","percent","2.7","2.8",0.029
"30","Alabama","1 wk ahead","Bin","percent","2.8","2.9",0.025
"31","Alabama","1 wk ahead","Bin","percent","2.9","3.0",0.015
"32","Alabama","1 wk ahead","Bin","percent","3.0","3.1",0.025
"33","Alabama","1 wk ahead","Bin","percent","3.1","3.2",0.016
"34","Alabama","1 wk ahead","Bin","percent","3.2","3.3",0.019
"35","Alabama","1 wk ahead","Bin","percent","3.3","3.4",0.015
"36","Alabama","1 wk ahead","Bin","percent","3.4","3.5",0.011
"37","Alabama","1 wk ahead","Bin","percent","3.5","3.6",0.013
"38","Alabama","1 wk ahead","Bin","percent","3.6","3.7",0.006
"39","Alabama","1 wk ahead","Bin","percent","3.7","3.8",0.004
"40","Alabama","1 wk ahead","Bin","percent","3.8","3.9",0.007
"41","Alabama","1 wk ahead","Bin","percent","3.9","4.0",0.008
"42","Alabama","1 wk ahead","Bin","percent","4.0","4.1",0.008
"43","Alabama","1 wk ahead","Bin","percent","4.1","4.2",0.008
"44","Alabama","1 wk ahead","Bin","percent","4.2","4.3",0.006
"45","Alabama","1 wk ahead","Bin","percent","4.3","4.4",0.005
"46","Alabama","1 wk ahead","Bin","percent","4.4","4.5",0.001
"47","Alabama","1 wk ahead","Bin","percent","4.5","4.6",0.001
"48","Alabama","1 wk ahead","Bin","percent","4.6","4.7",0.003
"49","Alabama","1 wk ahead","Bin","percent","4.7","4.8",0.004
"50","Alabama","1 wk ahead","Bin","percent","4.8","4.9",0.002
"51","Alabama","1 wk ahead","Bin","percent","4.9","5.0",0.002
"52","Alabama","1 wk ahead","Bin","percent","5.0","5.1",0.002
"53","Alabama","1 wk ahead","Bin","percent","5.1","5.2",0.002
"54","Alabama","1 wk ahead","Bin","percent","5.2","5.3",0.002
"55","Alabama","1 wk ahead","Bin","percent","5.3","5.4",0
"56","Alabama","1 wk ahead","Bin","percent","5.4","5.5",0.001
"57","Alabama","1 wk ahead","Bin","percent","5.5","5.6",0.001
"58","Alabama","1 wk ahead","Bin","percent","5.6","5.7",0.001
"59","Alabama","1 wk ahead","Bin","percent","5.7","5.8",0
"60","Alabama","1 wk ahead","Bin","percent","5.8","5.9",0
"61","Alabama","1 wk ahead","Bin","percent","5.9","6.0",0
"62","Alabama","1 wk ahead","Bin","percent","6.0","6.1",0
"63","Alabama","1 wk ahead","Bin","percent","6.1","6.2",0.002
"64","Alabama","1 wk ahead","Bin","percent","6.2","6.3",0
"65","Alabama","1 wk ahead","Bin","percent","6.3","6.4",0.001
"66","Alabama","1 wk ahead","Bin","percent","6.4","6.5",0
"67","Alabama","1 wk ahead","Bin","percent","6.5","6.6",0
"68","Alabama","1 wk ahead","Bin","percent","6.6","6.7",0
"69","Alabama","1 wk ahead","Bin","percent","6.7","6.8",0.001
"70","Alabama","1 wk ahead","Bin","percent","6.8","6.9",0
"71","Alabama","1 wk ahead","Bin","percent","6.9","7.0",0
"72","Alabama","1 wk ahead","Bin","percent","7.0","7.1",0
"73","Alabama","1 wk ahead","Bin","percent","7.1","7.2",0
"74","Alabama","1 wk ahead","Bin","percent","7.2","7.3",0
"75","Alabama","1 wk ahead","Bin","percent","7.3","7.4",0
"76","Alabama","1 wk ahead","Bin","percent","7.4","7.5",0
"77","Alabama","1 wk ahead","Bin","percent","7.5","7.6",0
"78","Alabama","1 wk ahead","Bin","percent","7.6","7.7",0
"79","Alabama","1 wk ahead","Bin","percent","7.7","7.8",0
"80","Alabama","1 wk ahead","Bin","percent","7.8","7.9",0.001
"81","Alabama","1 wk ahead","Bin","percent","7.9","8.0",0
"82","Alabama","1 wk ahead","Bin","percent","8.0","8.1",0
"83","Alabama","1 wk ahead","Bin","percent","8.1","8.2",0
"84","Alabama","1 wk ahead","Bin","percent","8.2","8.3",0
"85","Alabama","1 wk ahead","Bin","percent","8.3","8.4",0
"86","Alabama","1 wk ahead","Bin","percent","8.4","8.5",0
"87","Alabama","1 wk ahead","Bin","percent","8.5","8.6",0
"88","Alabama","1 wk ahead","Bin","percent","8.6","8.7",0
"89","Alabama","1 wk ahead","Bin","percent","8.7","8.8",0
"90","Alabama","1 wk ahead","Bin","percent","8.8","8.9",0
"91","Alabama","1 wk ahead","Bin","percent","8.9","9.0",0
"92","Alabama","1 wk ahead","Bin","percent","9.0","9.1",0.001
"93","Alabama","1 wk ahead","Bin","percent","9.1","9.2",0
"94","Alabama","1 wk ahead","Bin","percent","9.2","9.3",0
"95","Alabama","1 wk ahead","Bin","percent","9.3","9.4",0
"96","Alabama","1 wk ahead","Bin","percent","9.4","9.5",0
"97","Alabama","1 wk ahead","Bin","percent","9.5","9.6",0
"98","Alabama","1 wk ahead","Bin","percent","9.6","9.7",0
"99","Alabama","1 wk ahead","Bin","percent","9.7","9.8",0
"100","Alabama","1 wk ahead","Bin","percent","9.8","9.9",0
"101","Alabama","1 wk ahead","Bin","percent","9.9","10.0",0
"102","Alabama","1 wk ahead","Bin","percent","10.0","10.1",0
"103","Alabama","1 wk ahead","Bin","percent","10.1","10.2",0
"104","Alabama","1 wk ahead","Bin","percent","10.2","10.3",0
"105","Alabama","1 wk ahead","Bin","percent","10.3","10.4",0
"106","Alabama","1 wk ahead","Bin","percent","10.4","10.5",0
"107","Alabama","1 wk ahead","Bin","percent","10.5","10.6",0
"108","Alabama","1 wk ahead","Bin","percent","10.6","10.7",0
"109","Alabama","1 wk ahead","Bin","percent","10.7","10.8",0
"110","Alabama","1 wk ahead","Bin","percent","10.8","10.9",0
"111","Alabama","1 wk ahead","Bin","percent","10.9","11.0",0
"112","Alabama","1 wk ahead","Bin","percent","11.0","11.1",0
"113","Alabama","1 wk ahead","Bin","percent","11.1","11.2",0
"114","Alabama","1 wk ahead","Bin","percent","11.2","11.3",0
"115","Alabama","1 wk ahead","Bin","percent","11.3","11.4",0
"116","Alabama","1 wk ahead","Bin","percent","11.4","11.5",0
"117","Alabama","1 wk ahead","Bin","percent","11.5","11.6",0
"118","Alabama","1 wk ahead","Bin","percent","11.6","11.7",0
"119","Alabama","1 wk ahead","Bin","percent","11.7","11.8",0
"120","Alabama","1 wk ahead","Bin","percent","11.8","11.9",0
"121","Alabama","1 wk ahead","Bin","percent","11.9","12.0",0
"122","Alabama","1 wk ahead","Bin","percent","12.0","12.1",0
"123","Alabama","1 wk ahead","Bin","percent","12.1","12.2",0
"124","Alabama","1 wk ahead","Bin","percent","12.2","12.3",0.001
"125","Alabama","1 wk ahead","Bin","percent","12.3","12.4",0
"126","Alabama","1 wk ahead","Bin","percent","12.4","12.5",0
"127","Alabama","1 wk ahead","Bin","percent","12.5","12.6",0
"128","Alabama","1 wk ahead","Bin","percent","12.6","12.7",0
"129","Alabama","1 wk ahead","Bin","percent","12.7","12.8",0
"130","Alabama","1 wk ahead","Bin","percent","12.8","12.9",0
"131","Alabama","1 wk ahead","Bin","percent","12.9","13.0",0
"132","Alabama","1 wk ahead","Bin","percent","13.0","100.0",0
"133","Alabama","2 wk ahead","Point","percent",NA,NA,1.8
"134","Alabama","2 wk ahead","Bin","percent","0.0","0.1",0
"135","Alabama","2 wk ahead","Bin","percent","0.1","0.2",0
"136","Alabama","2 wk ahead","Bin","percent","0.2","0.3",0
"137","Alabama","2 wk ahead","Bin","percent","0.3","0.4",0
"138","Alabama","2 wk ahead","Bin","percent","0.4","0.5",0
"139","Alabama","2 wk ahead","Bin","percent","0.5","0.6",0
"140","Alabama","2 wk ahead","Bin","percent","0.6","0.7",0.002
"141","Alabama","2 wk ahead","Bin","percent","0.7","0.8",0.002
"142","Alabama","2 wk ahead","Bin","percent","0.8","0.9",0.008
"143","Alabama","2 wk ahead","Bin","percent","0.9","1.0",0.019
"144","Alabama","2 wk ahead","Bin","percent","1.0","1.1",0.028
"145","Alabama","2 wk ahead","Bin","percent","1.1","1.2",0.044
"146","Alabama","2 wk ahead","Bin","percent","1.2","1.3",0.045
"147","Alabama","2 wk ahead","Bin","percent","1.3","1.4",0.058
"148","Alabama","2 wk ahead","Bin","percent","1.4","1.5",0.07
"149","Alabama","2 wk ahead","Bin","percent","1.5","1.6",0.06
"150","Alabama","2 wk ahead","Bin","percent","1.6","1.7",0.055
"151","Alabama","2 wk ahead","Bin","percent","1.7","1.8",0.056
"152","Alabama","2 wk ahead","Bin","percent","1.8","1.9",0.053
"153","Alabama","2 wk ahead","Bin","percent","1.9","2.0",0.047
"154","Alabama","2 wk ahead","Bin","percent","2.0","2.1",0.056
"155","Alabama","2 wk ahead","Bin","percent","2.1","2.2",0.059
"156","Alabama","2 wk ahead","Bin","percent","2.2","2.3",0.036
"157","Alabama","2 wk ahead","Bin","percent","2.3","2.4",0.032
"158","Alabama","2 wk ahead","Bin","percent","2.4","2.5",0.036
"159","Alabama","2 wk ahead","Bin","percent","2.5","2.6",0.034
"160","Alabama","2 wk ahead","Bin","percent","2.6","2.7",0.022
"161","Alabama","2 wk ahead","Bin","percent","2.7","2.8",0.021
