"location","target","type","unit","bin_start_incl","bin_end_notincl","value","forecast_week"
"Alabama","1 wk ahead","Bin","percent","0.1","0.2",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.2","0.3",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.0","0.1",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.1","3.2",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.2","3.3",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.3","3.4",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.4","3.5",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.5","3.6",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.6","3.7",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.7","3.8",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.8","3.9",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.9","4.0",0,"44"
"Alabama","1 wk ahead","Bin","percent","4.0","4.1",0,"44"
"Alabama","1 wk ahead","Bin","percent","4.1","4.2",0,"44"
"Alabama","1 wk ahead","Bin","percent","4.2","4.3",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.3","0.4",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.4","0.5",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.5","0.6",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.6","0.7",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.7","0.8",0.0003000300030003,"44"
"Alabama","1 wk ahead","Bin","percent","0.8","0.9",0,"44"
"Alabama","1 wk ahead","Bin","percent","0.9","1.0",0.0003000300030003,"44"
"Alabama","1 wk ahead","Bin","percent","1.0","1.1",0.0012001200120012,"44"
"Alabama","1 wk ahead","Bin","percent","1.1","1.2",0.0042004200420042,"44"
"Alabama","1 wk ahead","Bin","percent","1.2","1.3",0.0087008700870087,"44"
"Alabama","1 wk ahead","Bin","percent","1.3","1.4",0.0249024902490249,"44"
"Alabama","1 wk ahead","Bin","percent","1.4","1.5",0.0891089108910891,"44"
"Alabama","1 wk ahead","Bin","percent","1.5","1.6",0.286828682868287,"44"
"Alabama","1 wk ahead","Bin","percent","1.6","1.7",0.387638763876388,"44"
"Alabama","1 wk ahead","Bin","percent","1.7","1.8",0.135613561356136,"44"
"Alabama","1 wk ahead","Bin","percent","1.8","1.9",0.0342034203420342,"44"
"Alabama","1 wk ahead","Bin","percent","1.9","2.0",0.0162016201620162,"44"
"Alabama","1 wk ahead","Bin","percent","2.0","2.1",0.0051005100510051,"44"
"Alabama","1 wk ahead","Bin","percent","2.1","2.2",0.0015001500150015,"44"
"Alabama","1 wk ahead","Bin","percent","2.2","2.3",0.0012001200120012,"44"
"Alabama","1 wk ahead","Bin","percent","2.3","2.4",0.0009000900090009,"44"
"Alabama","1 wk ahead","Bin","percent","2.4","2.5",0.0012001200120012,"44"
"Alabama","1 wk ahead","Bin","percent","2.5","2.6",0.0006000600060006,"44"
"Alabama","1 wk ahead","Bin","percent","2.6","2.7",0.0003000300030003,"44"
"Alabama","1 wk ahead","Bin","percent","2.7","2.8",0,"44"
"Alabama","1 wk ahead","Bin","percent","2.8","2.9",0,"44"
"Alabama","1 wk ahead","Bin","percent","2.9","3.0",0,"44"
"Alabama","1 wk ahead","Bin","percent","3.0","3.1",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.1","7.2",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.2","7.3",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.3","7.4",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.4","7.5",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.5","7.6",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.6","7.7",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.7","7.8",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.8","7.9",0,"44"
"Alabama","1 wk ahead","Bin","percent","7.9","8.0",0,"44"
"Alabama","1 wk ahead","Bin","percent","8.0","8.1",0,"44"
"Alabama","1 wk ahead","Bin","percent","8.1","8.2",0,"44"
"Alabama","1 wk ahead","Bin","percent","8.2","8.3",0,"44"
"Alabama","1 wk ahead","Bin","percent","4.3","4.4",0,"44"
"Alabama","1 wk ahead","Bin","percent","4.4","4.5",0,"44"
"Alabama","1 wk ahead","Bin","percent","4.5","4.6",0,"44"
"Alabama","1 wk ahead","Bin","percent","4.6","4.7",0,"44"
